,Compound ID,SMILES,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,RingCount,N_H_Donors,N_H_Acceptors,pLC50,pLC50_bin
191,compound-192,C1COCCO1,0.0332,18.46,0,0,6,1,0,2,0.932,0.0
359,compound-360,COc1ccc(C(C)=O)c(OC)c1OC,1.915,44.760000000000005,4,1,15,1,0,4,3.024,0.0
176,compound-177,Nc1ccc([N+](=O)[O-])cc1,1.1769999999999998,69.16,1,1,10,1,1,3,3.043,0.0
28,compound-29,NC(=O)c1ccccc1N,0.3676999999999998,69.11,1,1,10,1,2,2,2.537,0.0
196,compound-197,C#CCN(CC#C)CC#C,0.1880000000000001,3.24,3,0,10,0,0,1,2.647,0.0
134,compound-135,CC(C)C(O)C(C)C,1.6593,20.23,2,0,8,0,1,1,2.854,0.0
374,compound-375,CC(=O)c1ccncc1,1.2842,29.96,1,1,9,1,0,2,2.858,0.0
36,compound-37,O=C(c1ccccc1)c1ccncc1,2.3126,29.96,2,2,14,2,0,2,3.25,0.0
191,compound-192,C1COCCO1,0.0332,18.46,0,0,6,1,0,2,0.932,0.0
233,compound-234,CC(=O)C(C)C,1.2314,17.07,1,0,6,0,0,1,2.0,0.0
137,compound-138,C[C@@H](O)CCl,0.6060000000000001,20.23,1,0,5,0,1,1,2.586,0.0
168,compound-169,COc1ccc(C(C)=O)c(O)c1,1.6034,46.53,2,1,12,1,1,3,3.379,0.0
218,compound-219,CCCCOC(C)=O,1.3496,26.3,3,0,8,0,0,2,3.81,0.0
186,compound-187,CCCC[C@@H](CC)CO,2.1951,20.23,5,0,9,0,1,1,3.664,0.0
192,compound-193,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.157,0.0
293,compound-294,C#CC[C@H](C)O,0.3905,20.23,1,0,6,0,1,1,3.38,0.0
252,compound-253,C[C@H]1CNC[C@H](C)O1,0.3832,21.26,0,0,8,1,1,2,2.474,0.0
289,compound-290,CCCCN,0.7452000000000001,26.02,2,0,5,0,1,1,2.437,0.0
94,compound-95,Nc1ccc(F)cc1C(F)(F)F,2.4267000000000003,26.02,0,1,12,1,1,1,3.782,0.0
1,compound-2,NC(=O)c1ccccc1,0.7855000000000001,43.09,1,1,9,1,1,1,2.263,0.0
168,compound-169,COc1ccc(C(C)=O)c(O)c1,1.6034,46.53,2,1,12,1,1,3,3.379,0.0
314,compound-315,Cc1ccc(C)o1,1.89644,13.14,0,1,7,1,0,1,3.131,0.0
68,compound-69,CCCCCC=O,1.7656,17.07,4,0,7,0,0,1,3.758,0.0
249,compound-250,Oc1cccnc1Br,1.5497,33.120000000000005,0,1,8,1,1,2,2.569,0.0
373,compound-374,OCC(F)(F)F,0.5409999999999999,20.23,0,0,6,0,1,1,2.924,0.0
36,compound-37,O=C(c1ccccc1)c1ccncc1,2.3126,29.96,2,2,14,2,0,2,3.25,0.0
318,compound-319,CCOCCOC(C)=O,0.586,35.53,4,0,9,0,0,3,3.496,0.0
101,compound-102,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,3.3260000000000014,17.07,3,3,20,3,0,1,3.715,0.0
39,compound-40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.7003999999999997,75.27000000000001,2,1,17,2,2,3,2.681,0.0
169,compound-170,CCCCCO,1.1689,20.23,3,0,6,0,1,1,2.272,0.0
84,compound-85,NC(=O)C(Cl)Cl,0.2754,43.09,1,0,6,0,1,1,2.725,0.0
104,compound-105,O=[N+]([O-])c1ccc(F)cc1,1.7338999999999998,43.14,1,1,10,1,0,2,3.696,0.0
337,compound-338,CC(C)(C)CC(C)(C)N,2.1599000000000004,26.02,1,0,9,0,1,1,3.721,0.0
373,compound-374,OCC(F)(F)F,0.5409999999999999,20.23,0,0,6,0,1,1,2.924,0.0
28,compound-29,NC(=O)c1ccccc1N,0.3676999999999998,69.11,1,1,10,1,2,2,2.537,0.0
352,compound-353,COC(=O)c1ccc(O)cc1O,0.8843999999999999,66.76,1,1,12,1,2,4,3.565,0.0
88,compound-89,CC(C)N(CCO)C(C)C,1.0975,23.47,4,0,10,0,1,2,2.859,0.0
198,compound-199,Cc1cocn1,0.98302,26.03,0,1,6,1,0,2,1.777,0.0
97,compound-98,CCSCCSCC,2.4926000000000004,0.0,5,0,8,0,0,2,3.397,0.0
114,compound-115,ClCCN1CCCC1,1.321,3.24,2,0,8,1,0,1,2.941,0.0
252,compound-253,C[C@H]1CNC[C@H](C)O1,0.3832,21.26,0,0,8,1,1,2,2.474,0.0
88,compound-89,CC(C)N(CCO)C(C)C,1.0975,23.47,4,0,10,0,1,2,2.859,0.0
262,compound-263,O=[N+]([O-])c1ccccc1,1.5948,43.14,1,1,9,1,0,2,3.015,0.0
36,compound-37,O=C(c1ccccc1)c1ccncc1,2.3126,29.96,2,2,14,2,0,2,3.25,0.0
135,compound-136,ClCCl,1.4215,0.0,0,0,3,0,0,0,2.41,0.0
332,compound-333,CC(C)(O)C(Cl)(Cl)Cl,2.127500000000001,20.23,0,0,8,0,1,1,3.119,0.0
