,compound_id,smiles,pLC50,MolLogP,LabuteASA,ExactMolWt,MolWt,HeavyAtomMolWt,MolMR,Chi0v,Chi0,HeavyAtomCount,toxicity_category,toxicity_numeric
198,Compound 199,Cc1cocn1,1.777,0.98302,35.81032247891692,83.03711378,83.09,78.05000000000001,21.239999999999995,3.5101624243430725,4.405777393935816,6,Practically non-toxic,1
69,Compound 70,Cc1cccnc1,2.81,1.39002,43.01599321484008,93.057849224,93.129,86.07299999999998,28.97399999999999,4.256614672258461,5.112884175122364,7,Practically non-toxic,1
280,Compound 281,C#C[C@@](C)(O)C(C)C,2.738,1.0266,50.72236285826448,112.088815004,112.17199999999998,100.07599999999998,34.294799999999995,5.601914133879209,6.784457050376174,8,Practically non-toxic,1
237,Compound 238,OCC(Cl)(Cl)Cl,2.699,1.3489,50.80822557506719,147.924947756,149.404,146.38,27.375799999999995,5.05600063376955,5.207106781186548,6,Practically non-toxic,1
83,Compound 84,N#Cc1ccccn1,2.5884,0.95328,47.40857289630879,104.037448128,104.11199999999997,100.07999999999998,28.952,4.203828267758419,5.819990956308912,8,Practically non-toxic,1
360,Compound 361,CC[C@@H](C)O,1.305,0.7772,32.62831112321538,74.07316494,74.12299999999999,64.04299999999999,21.971799999999995,3.731670645876132,4.284457050376173,5,Practically non-toxic,1
373,Compound 374,OCC(F)(F)F,2.924,0.5409999999999999,32.39503310320087,100.013599376,100.039,97.015,13.1408,2.788213795714187,5.207106781186548,6,Practically non-toxic,1
291,Compound 292,c1cc[nH]c1,2.504,1.0147,30.640563540511263,67.04219916,67.091,62.051,20.7927,2.809401076758504,3.5355339059327378,5,Practically non-toxic,1
291,Compound 292,c1cc[nH]c1,2.504,1.0147,30.640563540511263,67.04219916,67.091,62.051,20.7927,2.809401076758504,3.5355339059327378,5,Practically non-toxic,1
374,Compound 375,CC(=O)c1ccncc1,2.858,1.2842,53.54245742928045,121.052763844,121.13899999999998,114.08299999999998,34.2415,5.164862962722324,6.69023444431199,9,Practically non-toxic,1
93,Compound 94,CC(C)O,0.842,0.3871,26.263369008818778,60.057514876,60.096,52.032,17.3548,3.024563864689584,3.5773502691896257,4,Practically non-toxic,1
7,Compound 8,ClCCCl,2.863,1.464,35.71072559598951,97.969005488,98.96,94.928,21.44,3.682000400428458,3.414213562373095,4,Practically non-toxic,1
84,Compound 85,NC(=O)C(Cl)Cl,2.725,0.2754,45.21213839304599,126.959169076,127.958,124.934,24.6884,4.3307356668984776,5.154700538379252,6,Practically non-toxic,1
207,Compound 208,CCCCCC(C)=O,2.939,2.1557000000000004,51.09042581425295,114.104465068,114.188,100.07599999999998,34.822999999999986,5.736675415210053,6.405777393935816,8,Practically non-toxic,1
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,121.052763844,121.13899999999995,114.08299999999996,34.95990000000001,4.872349905601618,6.69023444431199,9,Practically non-toxic,1
374,Compound 375,CC(=O)c1ccncc1,2.858,1.2842,53.54245742928045,121.052763844,121.13899999999998,114.08299999999998,34.2415,5.164862962722324,6.69023444431199,9,Practically non-toxic,1
