,compound_id,smiles,pLC50,MolLogP,LabuteASA,MolMR,MolWt,ExactMolWt,Chi0v,HeavyAtomMolWt,Chi1v,Chi3v,Kappa1,HeavyAtomCount,Chi1,Chi0,NumValenceElectrons,Chi2v,BCUT2D_LOGPHI,AvgIpc,Chi4v,PEOE_VSA6,toxicity_category,toxicity_numeric
198,Compound 199,Cc1cocn1,1.777,0.98302,35.81032247891692,21.239999999999995,83.09,83.03711378,3.5101624243430725,78.05000000000001,1.7418853428829848,0.5557948733492732,3.401938579654511,6,2.8938468501173515,4.405777393935816,32,1.1298239711166116,1.8601345965417044,1.863826390090816,0.2728911642759964,0.0,Practically non-toxic,1
69,Compound 70,Cc1cccnc1,2.81,1.39002,43.01599321484008,28.97399999999999,93.129,93.057849224,4.256614672258461,86.07299999999998,2.260414715350615,0.8094199929348828,4.31260162601626,7,3.393846850117352,5.112884175122364,36,1.5303755341263872,1.876841176840584,1.6856161633204378,0.4481391923352558,6.06636706846161,Practically non-toxic,1
280,Compound 281,C#C[C@@](C)(O)C(C)C,2.738,1.0266,50.72236285826448,34.294799999999995,112.17199999999998,112.088815004,5.601914133879209,100.07599999999998,2.7056576053188564,1.41644491659913,7.519999999999999,8,3.504035844753885,6.784457050376174,46,2.446560449067426,2.1263142144148013,1.6668127273868607,0.1666666666666667,19.76790871823689,Practically non-toxic,1
237,Compound 238,OCC(Cl)(Cl)Cl,2.699,1.3489,50.80822557506719,27.375799999999995,149.404,147.924947756,5.05600063376955,146.38,2.370621285151634,0.5378528742004771,6.829999999999999,6,2.5606601717798214,5.207106781186548,38,3.289360900185757,2.233513313336745,1.3516441151533924,0.0,34.802819670697545,Practically non-toxic,1
83,Compound 84,N#Cc1ccccn1,2.5884,0.95328,47.40857289630879,28.952,104.11199999999997,104.037448128,4.203828267758419,100.07999999999998,2.2440876198419324,0.7794420285153287,4.790602409638554,8,3.931851652578137,5.819990956308912,38,1.32678129942095,1.864722597747141,1.903491193316404,0.4288941833622682,6.06636706846161,Practically non-toxic,1
360,Compound 361,CC[C@@H](C)O,1.305,0.7772,32.62831112321538,21.971799999999995,74.12299999999999,74.07316494,3.731670645876132,64.04299999999999,1.9509042305871973,0.5908224762989184,4.960000000000001,5,2.270055610029662,4.284457050376173,32,1.2572696565099426,1.811751014763368,1.3787834934861756,0.0,6.923737199690624,Practically non-toxic,1
373,Compound 374,OCC(F)(F)F,2.924,0.5409999999999999,32.39503310320087,13.1408,100.039,100.013599376,2.788213795714187,97.015,1.2367278661239527,0.179284291400159,5.75,6,2.5606601717798214,5.207106781186548,38,0.7732914601627696,2.106937839632056,1.3516441151533924,0.0,0.0,Practically non-toxic,1
291,Compound 292,c1cc[nH]c1,2.504,1.0147,30.640563540511263,20.7927,67.091,67.04219916,2.809401076758504,62.051,1.577350269189626,0.4960112905708618,2.5136448598130845,5,2.5,3.5355339059327378,26,0.8849001794597509,1.7159581538404294,1.760495029766198,0.2777777777777779,0.0,Practically non-toxic,1
291,Compound 292,c1cc[nH]c1,2.504,1.0147,30.640563540511263,20.7927,67.091,67.04219916,2.809401076758504,62.051,1.577350269189626,0.4960112905708618,2.5136448598130845,5,2.5,3.5355339059327378,26,0.8849001794597509,1.7159581538404294,1.760495029766198,0.2777777777777779,0.0,Practically non-toxic,1
374,Compound 375,CC(=O)c1ccncc1,2.858,1.2842,53.54245742928045,34.2415,121.13899999999998,121.052763844,5.164862962722324,114.08299999999998,2.7145388605825462,1.086846812853873,5.947877237851663,9,4.304530452640311,6.69023444431199,46,1.7920749479426683,1.946748281230608,1.9003726279897948,0.586622195880962,0.0,Practically non-toxic,1
