,Compound ID,SMILES,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,RingCount,N_H_Donors,N_H_Acceptors,pLC50,pLC50_bin
2,compound-3,CCCCC(=O)CCCC,2.935900000000001,17.07,6,0,10,0,0,1,3.662,2.0
3,compound-4,CCOc1ccc(C=O)cc1,1.8978,26.3,3,1,11,1,0,2,3.728,2.0
5,compound-6,Cc1c[nH]c2ccccc12,2.4763200000000003,15.79,0,2,10,2,1,0,4.171,2.0
6,compound-7,CCCCN(C=O)CCCC,2.045,20.31,7,0,11,0,0,1,3.246,2.0
8,compound-9,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],2.0348,69.44,2,1,14,1,0,4,3.891,2.0
9,compound-10,NC(=O)c1cccc(Br)c1,1.548,43.09,1,1,10,1,1,1,3.334,2.0
10,compound-11,Nc1ccc(Br)cn1,1.4263,38.91,0,1,8,1,1,2,2.99,2.0
11,compound-12,C=CCNc1ccccc1,2.2845000000000004,12.03,3,1,10,1,1,1,3.569,2.0
14,compound-15,Cc1ccccc1O,1.70062,20.23,0,1,8,1,1,1,3.889,2.0
17,compound-18,Cc1cc(C)c(C#N)c(O)n1,1.27572,56.91,0,1,11,1,1,3,2.975,2.0
18,compound-19,ClC(Cl)Cl,1.9864,0.0,0,0,4,0,0,0,3.228,2.0
19,compound-20,COc1ccc(C=O)c(OC)c1,1.5162999999999998,35.53,3,1,12,1,0,3,3.917,2.0
30,compound-31,CC(C)(O)CCc1ccccc1,2.3901000000000003,20.23,3,1,12,1,1,1,3.393,2.0
31,compound-32,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-1.029300000000001,61.82,0,2,14,2,0,6,3.109,2.0
33,compound-34,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1.1849999999999998,75.27000000000001,4,0,16,1,2,3,3.423,2.0
35,compound-36,C=C[C@H](O)CCC,1.3334,20.23,3,0,7,0,1,1,3.518,2.0
36,compound-37,O=C(c1ccccc1)c1ccncc1,2.3126,29.96,2,2,14,2,0,2,3.25,2.0
41,compound-42,C#CCCO,0.002,20.23,1,0,5,0,1,1,3.288,2.0
43,compound-44,O=CN(c1ccccc1)c1ccccc1,2.9811000000000014,20.31,3,2,15,2,0,1,3.812,2.0
48,compound-49,C=C(C)C(=O)OC(C)C,1.5141,26.3,2,0,9,0,0,2,3.528,2.0
50,compound-51,COc1cccc(O)c1,1.4007999999999998,29.46,1,1,9,1,1,2,3.225,2.0
52,compound-53,O=[N+]([O-])c1ncccc1O,0.6954,76.26,1,1,10,1,1,4,2.924,2.0
53,compound-54,O[C@H]1CCCC[C@@H]1c1ccccc1,2.7051000000000007,20.23,1,1,13,2,1,1,3.599,2.0
55,compound-56,COC(=O)c1ccc([N+](=O)[O-])cc1,1.3814,69.44,2,1,13,1,0,4,3.881,2.0
56,compound-57,CCCCCCO,1.559,20.23,4,0,7,0,1,1,3.02,2.0
57,compound-58,C#C[C@](C)(O)c1ccccc1,1.5273,20.23,1,1,11,1,1,1,3.112,2.0
61,compound-62,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,1.57852,54.86,2,1,14,1,1,3,3.148,2.0
62,compound-63,NC(=O)c1ccccc1O,0.4911,63.32000000000001,1,1,10,1,2,2,3.133,2.0
63,compound-64,NCc1ccccc1,1.1453,26.02,1,1,8,1,1,1,3.021,2.0
64,compound-65,C=C(C)C(=O)OC[C@H]1CCCO1,1.2847000000000002,35.53,3,0,12,1,0,3,3.691,2.0
65,compound-66,Cc1ccccc1F,2.13412,0.0,0,1,8,1,0,0,3.754,2.0
68,compound-69,CCCCCC=O,1.7656,17.07,4,0,7,0,0,1,3.758,2.0
71,compound-72,CCCOC(C)=O,0.9595,26.3,2,0,7,0,0,2,3.231,2.0
72,compound-73,BrC[C@@H]1CCCCO1,1.9504,9.23,1,0,8,1,0,1,2.941,2.0
74,compound-75,Cc1cccc(C)c1,2.30344,0.0,0,1,8,1,0,0,3.821,2.0
76,compound-77,ClCC(Cl)Cl,2.0289,0.0,1,0,5,0,0,0,3.213,2.0
78,compound-79,Nc1ccccc1,1.2688,26.02,0,1,7,1,1,1,2.948,2.0
79,compound-80,O=[N+]([O-])c1ccc(O)cc1,1.3003999999999998,63.370000000000005,1,1,10,1,1,3,3.492,2.0
82,compound-83,Cc1ccc(C)cc1,2.30344,0.0,0,1,8,1,0,0,4.078,2.0
85,compound-86,CC1(C)O[C@]2(C)CC[C@H]1CC2,2.7441000000000013,9.23,0,0,11,3,0,1,3.18,2.0
86,compound-87,CCCCCC[C@H]1CCC(=O)O1,2.6624000000000008,26.3,5,0,12,1,0,2,3.976,2.0
92,compound-93,O=Cc1ccccc1,1.4991,17.07,1,1,8,1,0,1,4.032,2.0
94,compound-95,Nc1ccc(F)cc1C(F)(F)F,2.4267000000000003,26.02,0,1,12,1,1,1,3.782,2.0
95,compound-96,CCN(CC)c1ccccc1,2.532800000000001,3.24,3,1,11,1,0,1,3.959,2.0
96,compound-97,N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,1.9139,26.02,0,0,11,4,1,1,3.782,2.0
97,compound-98,CCSCCSCC,2.4926000000000004,0.0,5,0,8,0,0,2,3.397,2.0
