,compound_id,smiles,pLC50,MolLogP,LabuteASA,ExactMolWt,MolWt,HeavyAtomMolWt,MolMR,Chi0v,Chi0,HeavyAtomCount,toxicity_category
0,Compound 1,CCOC(C)=O,2.583,0.5694,37.10914470057002,88.052429496,88.106,80.04199999999999,22.30699999999999,4.023603362114274,4.99156383156272,6,Practically non-toxic
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,121.052763844,121.13899999999995,114.08299999999996,34.95990000000001,4.872349905601618,6.69023444431199,9,Practically non-toxic
2,Compound 3,CCCCC(=O)CCCC,3.662,2.935900000000001,63.82031004304619,142.135765196,142.24200000000002,124.09799999999996,44.057000000000016,7.150888977583149,7.819990956308912,10,Slightly toxic
3,Compound 4,CCOc1ccc(C=O)cc1,3.728,1.8978,65.80129679223742,150.06807956,150.177,140.09699999999998,42.99850000000002,6.410354708062403,8.104448006685086,11,Slightly toxic
4,Compound 5,C#C[C@H](O)CCCCC,5.485,1.5608,57.08730497266109,126.104465068,126.199,112.08699999999996,38.98180000000001,5.9303412586254005,7.112884175122364,9,Highly toxic
5,Compound 6,Cc1c[nH]c2ccccc12,4.171,2.4763200000000003,59.68717018664308,131.073499288,131.178,122.10599999999998,43.03570000000001,5.88675134594813,6.974691494688164,10,Moderately toxic
6,Compound 7,CCCCN(C=O)CCCC,3.246,2.045,69.58014371324954,157.146664228,157.25699999999998,138.10499999999996,47.45300000000002,7.675452842272733,8.52709773749546,11,Slightly toxic
7,Compound 8,ClCCCl,2.863,1.464,35.71072559598951,97.969005488,98.96,94.928,21.44,3.682000400428458,3.414213562373095,4,Practically non-toxic
8,Compound 9,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],3.891,2.0348,84.39259662722229,214.998535352,215.592,209.544,49.44590000000001,7.94615098395197,10.71517847069432,14,Slightly toxic
9,Compound 10,NC(=O)c1cccc(Br)c1,3.334,1.548,67.16530563659141,198.963275912,200.035,193.987,42.65990000000001,6.758960648535925,7.560477932315068,10,Slightly toxic
10,Compound 11,Nc1ccc(Br)cn1,2.99,1.4263,55.85848940309755,171.96361026,173.01300000000003,167.97299999999998,36.3494,5.720575684382393,5.983127663125442,8,Practically non-toxic
11,Compound 12,C=CCNc1ccccc1,3.569,2.2845000000000004,61.386488614110576,133.089149352,133.19399999999996,122.10599999999998,45.12870000000002,5.878315177510851,7.234204518682008,10,Slightly toxic
