,Compound ID,SMILES,MolecularWeight,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,RingCount,N_H_Donors,N_H_Acceptors,MaxPartialCharge,MinPartialCharge,N_RadicalElectrons,N_ValenceElectrons,pLC50
0,compound-1,CCOC(C)=O,88.106,0.5694,26.3,1,0,6,0,0,2,0.46617188997441655,0.30211277772699074,0,36,2.583
1,compound-2,NC(=O)c1ccccc1,121.13899999999995,0.7855000000000001,43.09,1,1,9,1,1,1,0.3655995116322135,0.24819511424564836,0,46,2.263
2,compound-3,CCCCC(=O)CCCC,142.24200000000002,2.935900000000001,17.07,6,0,10,0,0,1,0.2997179119890417,0.1324109690533248,0,60,3.662
3,compound-4,CCOc1ccc(C=O)cc1,150.177,1.8978,26.3,3,1,11,1,0,2,0.4938893382807438,0.14955258132185154,0,58,3.728
4,compound-5,C#C[C@H](O)CCCCC,126.19900000000001,1.5608,20.23,4,0,9,0,1,1,0.3803956243587211,0.11400849396943219,0,52,5.485
5,compound-6,Cc1c[nH]c2ccccc12,131.178,2.4763200000000003,15.79,0,2,10,2,1,0,0.3609008962065418,0.045617669808042355,0,50,4.171
6,compound-7,CCCCN(C=O)CCCC,157.25699999999998,2.045,20.310000000000002,7,0,11,0,0,1,0.34526788035303374,0.20920244135297583,0,66,3.246
7,compound-8,ClCCCl,98.96000000000001,1.464,0.0,1,0,4,0,0,0,0.12542343074881615,0.035889203448099614,0,26,2.863
8,compound-9,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],215.59199999999998,2.0348,69.44,2,1,14,1,0,4,0.46523318623639154,0.34438977926374453,0,74,3.891
9,compound-10,NC(=O)c1cccc(Br)c1,200.035,1.548,43.09,1,1,10,1,1,1,0.36559894030487605,0.24823562056571177,0,52,3.334
10,compound-11,Nc1ccc(Br)cn1,173.01300000000003,1.4263,38.91,0,1,8,1,1,2,0.38370162302737104,0.1228542033037726,0,42,2.99
11,compound-12,C=CCNc1ccccc1,133.19399999999996,2.2845000000000004,12.03,3,1,10,1,1,1,0.3815850499986954,0.03421032383482755,0,52,3.569
12,compound-13,CCCCCCCCCCc1ccc(N)cc1,233.399,4.9520000000000035,26.02,9,1,17,1,1,1,0.39872856236749865,0.03136759797994616,0,96,6.575
13,compound-14,CCCCOP(=O)(OCCCC)OCCCC,266.3179999999999,4.544600000000004,44.760000000000005,12,0,17,0,0,4,0.4742777516396875,0.28687676100582693,0,104,4.449
14,compound-15,Cc1ccccc1O,108.13999999999997,1.70062,20.23,0,1,8,1,1,1,0.5076872844527907,0.11797961868439862,0,42,3.889
15,compound-16,CC(C)[C@H](C)N,87.166,0.9895999999999998,26.02,1,0,6,0,1,1,0.32773183348883195,0.003344411767828105,0,38,2.487
16,compound-17,CCCCCCCCCCC(C)=O,184.32299999999998,4.106200000000004,17.07,9,0,13,0,0,1,0.30003102349469607,0.1293399502822748,0,78,5.194
17,compound-18,Cc1cc(C)c(C#N)c(O)n1,148.165,1.27572,56.910000000000004,0,1,11,1,1,3,0.49231934717386405,0.22917834468741932,0,56,2.975
18,compound-19,ClC(Cl)Cl,119.37800000000001,1.9864,0.0,0,0,4,0,0,0,0.18010663547779673,0.08741152777904436,0,26,3.228
19,compound-20,COc1ccc(C=O)c(OC)c1,166.176,1.5162999999999998,35.53,3,1,12,1,0,3,0.49662400594982214,0.15328099337377465,0,64,3.917
20,compound-21,CCCSSCCC,150.31199999999998,3.187800000000002,0.0,5,0,8,0,0,2,0.09417055176624087,0.0034270164033086354,0,50,4.759
21,compound-22,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,199.59299999999996,2.4508,60.209999999999994,2,1,13,1,0,3,0.29450761286832816,0.28810051492249206,0,68,4.56
22,compound-23,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,342.875,5.420300000000004,18.46,8,1,18,1,0,5,0.3219489605361771,0.24763975157204116,0,102,6.161
23,compound-24,ClC(Cl)C(Cl)(Cl)Cl,202.29500000000002,3.1603000000000003,0.0,0,0,7,0,0,0,0.21975731781615093,0.10060672077280805,0,44,4.429
24,compound-25,N#CCCCCC#N,108.144,1.59396,47.58,3,0,8,0,0,2,0.19834738704295812,0.06212510944387013,0,42,1.75
25,compound-26,COC(C)=O,74.079,0.17930000000000001,26.3,0,0,5,0,0,2,0.46919810705104836,0.3018471669894445,0,30,2.317
26,compound-27,CCCCCCCCN,129.24699999999999,2.3056,26.02,6,0,9,0,1,1,0.33047350396342257,0.007727546703972456,0,56,4.396
