,Compound ID,SMILES,MolecularWeight,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,N_H_Donors,N_H_Acceptors,Max_Partial_Charge,Min_Partial_Charge,pLC50
0,compound-1,CCOC(C)=O,88.106,0.5694,26.3,1,0,6,0,2,0.4661718899744165,0.3021127777269907,2.583
1,compound-2,NC(=O)c1ccccc1,121.13899999999995,0.7855000000000001,43.09,1,1,9,1,1,0.3655995116322135,0.2481951142456483,2.263
2,compound-3,CCCCC(=O)CCCC,142.24200000000002,2.935900000000001,17.07,6,0,10,0,1,0.2997179119890417,0.1324109690533248,3.662
3,compound-4,CCOc1ccc(C=O)cc1,150.177,1.8978,26.3,3,1,11,0,2,0.4938893382807438,0.1495525813218515,3.728
4,compound-5,C#C[C@H](O)CCCCC,126.199,1.5608,20.23,4,0,9,1,1,0.3803956243587211,0.1140084939694321,5.485
5,compound-6,Cc1c[nH]c2ccccc12,131.178,2.4763200000000003,15.79,0,2,10,1,0,0.3609008962065418,0.0456176698080423,4.171
6,compound-7,CCCCN(C=O)CCCC,157.25699999999998,2.045,20.31,7,0,11,0,1,0.3452678803530337,0.2092024413529758,3.246
7,compound-8,ClCCCl,98.96,1.464,0.0,1,0,4,0,0,0.1254234307488161,0.0358892034480996,2.863
8,compound-9,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],215.592,2.0348,69.44,2,1,14,0,4,0.4652331862363915,0.3443897792637445,3.891
9,compound-10,NC(=O)c1cccc(Br)c1,200.035,1.548,43.09,1,1,10,1,1,0.365598940304876,0.2482356205657117,3.334
10,compound-11,Nc1ccc(Br)cn1,173.01300000000003,1.4263,38.91,0,1,8,1,2,0.383701623027371,0.1228542033037726,2.99
11,compound-12,C=CCNc1ccccc1,133.19399999999996,2.2845000000000004,12.03,3,1,10,1,1,0.3815850499986954,0.0342103238348275,3.569
12,compound-13,CCCCCCCCCCc1ccc(N)cc1,233.399,4.952000000000004,26.02,9,1,17,1,1,0.3987285623674986,0.0313675979799461,6.575
13,compound-14,CCCCOP(=O)(OCCCC)OCCCC,266.3179999999999,4.544600000000004,44.760000000000005,12,0,17,0,4,0.4742777516396875,0.2868767610058269,4.449
14,compound-15,Cc1ccccc1O,108.13999999999996,1.70062,20.23,0,1,8,1,1,0.5076872844527907,0.1179796186843986,3.889
15,compound-16,CC(C)[C@H](C)N,87.166,0.9895999999999998,26.02,1,0,6,1,1,0.3277318334888319,0.0033444117678281,2.487
16,compound-17,CCCCCCCCCCC(C)=O,184.323,4.106200000000004,17.07,9,0,13,0,1,0.300031023494696,0.1293399502822748,5.194
17,compound-18,Cc1cc(C)c(C#N)c(O)n1,148.165,1.27572,56.91,0,1,11,1,3,0.492319347173864,0.2291783446874193,2.975
18,compound-19,ClC(Cl)Cl,119.378,1.9864,0.0,0,0,4,0,0,0.1801066354777967,0.0874115277790443,3.228
19,compound-20,COc1ccc(C=O)c(OC)c1,166.176,1.5162999999999998,35.53,3,1,12,0,3,0.4966240059498221,0.1532809933737746,3.917
20,compound-21,CCCSSCCC,150.31199999999998,3.187800000000002,0.0,5,0,8,0,2,0.0941705517662408,0.0034270164033086,4.759
21,compound-22,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,199.593,2.4508,60.21,2,1,13,0,3,0.2945076128683281,0.288100514922492,4.56
22,compound-23,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,342.875,5.420300000000004,18.46,8,1,18,0,5,0.3219489605361771,0.2476397515720411,6.161
23,compound-24,ClC(Cl)C(Cl)(Cl)Cl,202.295,3.1603000000000003,0.0,0,0,7,0,0,0.2197573178161509,0.100606720772808,4.429
24,compound-25,N#CCCCCC#N,108.144,1.59396,47.58,3,0,8,0,2,0.1983473870429581,0.0621251094438701,1.75
25,compound-26,COC(C)=O,74.079,0.1793,26.3,0,0,5,0,2,0.4691981070510483,0.3018471669894445,2.317
26,compound-27,CCCCCCCCN,129.247,2.3056,26.02,6,0,9,1,1,0.3304735039634225,0.0077275467039724,4.396
27,compound-28,C=C[C@](C)(O)CC/C=C(/C)CCC=C(C)C,222.372,4.396300000000004,20.23,7,0,16,1,1,0.3860915025551139,0.0799543289291131,5.192
28,compound-29,NC(=O)c1ccccc1N,136.154,0.3676999999999998,69.11,1,1,10,2,2,0.3980808153989169,0.2502884753186924,2.537
29,compound-30,CCCO,60.096,0.3887,20.23,1,0,4,1,1,0.3963873506323362,0.0427892799205337,1.121
30,compound-31,CC(C)(O)CCc1ccccc1,164.24799999999996,2.3901000000000003,20.23,3,1,12,1,1,0.3904597985279948,0.0594488119739299,3.393
31,compound-32,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.194,-1.029300000000001,61.82,0,2,14,0,6,0.3317034326359888,0.3278634660994821,3.109
32,compound-33,Brc1ccsc1,163.03900000000002,2.5106,0.0,0,1,6,0,1,0.1512341554993466,0.0281743615554824,4.421
33,compound-34,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,226.276,1.1849999999999998,75.27000000000001,4,0,16,2,3,0.3276318689614549,0.2768228775012217,3.423
34,compound-35,Clc1cccc(Cl)c1,147.00400000000002,2.9934000000000003,0.0,0,1,8,0,0,0.0842889078864603,0.0420299105976315,4.263
35,compound-36,C=C[C@H](O)CCC,100.161,1.3334,20.23,3,0,7,1,1,0.3890608211861144,0.0717744186534131,3.518
36,compound-37,O=C(c1ccccc1)c1ccncc1,183.21,2.3126,29.96,2,2,14,0,2,0.2886139408884263,0.1926319628795822,3.25
37,compound-38,Oc1ccc(Oc2ccc(O)cc2)cc1,202.209,2.8901000000000003,49.69,2,2,15,2,3,0.507962228738608,0.1271989381207901,4.544
38,compound-39,Oc1c(Br)cc(Br)cc1Br,330.801,3.6797,20.23,0,1,10,1,1,0.5055801759673582,0.1435022176289187,4.703
39,compound-40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,232.239,0.7003999999999997,75.27000000000001,2,1,17,2,3,0.3276510185778574,0.2765230180661798,2.681
