,compound_id,smiles,pLC50,MolLogP,LabuteASA,MolMR,MolWt,ExactMolWt,Chi0v,HeavyAtomMolWt,Chi1v,Chi3v,Kappa1,toxicity_category,toxicity_numeric
0,Compound 1,CCOC(C)=O,2.583,0.5694,37.10914470057002,22.30699999999999,88.106,88.052429496,4.023603362114274,80.04199999999999,1.9040302062452237,0.3476006996936919,5.469999999999999,Practically non-toxic,1
1,Compound 2,NC(=O)c1ccccc1,2.263,0.7855000000000001,53.29775803095004,34.95990000000001,121.13899999999995,121.052763844,4.872349905601618,114.08299999999996,2.653482882349704,1.0583068652130645,5.820039011703511,Practically non-toxic,1
2,Compound 3,CCCCC(=O)CCCC,3.662,2.935900000000001,63.82031004304619,44.057000000000016,142.24200000000002,142.135765196,7.150888977583149,124.09799999999996,4.3254444887915735,1.6183377076050265,9.67,Slightly toxic,2
3,Compound 4,CCOc1ccc(C=O)cc1,3.728,1.8978,65.80129679223742,42.99850000000002,150.177,150.06807956,6.410354708062403,140.09699999999998,3.5456506610495397,1.3271866967962749,7.793199174406604,Slightly toxic,2
4,Compound 5,C#C[C@H](O)CCCCC,5.485,1.5608,57.08730497266109,38.98180000000001,126.199,126.104465068,5.9303412586254005,112.08699999999996,3.4509042305871973,1.273501277443943,8.52,Highly toxic,4
5,Compound 6,Cc1c[nH]c2ccccc12,4.171,2.4763200000000003,59.68717018664308,43.03570000000001,131.178,131.073499288,5.88675134594813,122.10599999999998,3.4047005383792524,1.7960823706613525,5.537680730986294,Moderately toxic,3
6,Compound 7,CCCCN(C=O)CCCC,3.246,2.045,69.58014371324954,47.45300000000002,157.25699999999998,157.146664228,7.675452842272733,138.10499999999996,4.540570244549448,1.7468324014673702,10.47,Slightly toxic,2
7,Compound 8,ClCCCl,2.863,1.464,35.71072559598951,21.439999999999998,98.96,97.969005488,3.682000400428458,94.928,2.103567451474546,0.6428571428571428,4.58,Practically non-toxic,1
8,Compound 9,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],3.891,2.0348,84.39259662722229,49.44590000000001,215.592,214.998535352,7.94615098395197,209.544,3.9602323315742423,1.7968810343411907,10.460775444264945,Slightly toxic,2
9,Compound 10,NC(=O)c1cccc(Br)c1,3.334,1.548,67.16530563659141,42.65990000000001,200.035,198.963275912,6.758960648535925,193.987,3.5461469909346284,1.6023869500837875,7.279051254089422,Slightly toxic,2
10,Compound 11,Nc1ccc(Br)cn1,2.99,1.4263,55.85848940309755,36.3494,173.01300000000003,171.96361026,5.720575684382393,167.97299999999998,2.9518200652716904,1.2193486542725145,5.564589502018842,Practically non-toxic,1
11,Compound 12,C=CCNc1ccccc1,3.569,2.2845000000000004,61.386488614110576,45.12870000000002,133.19399999999996,133.089149352,5.878315177510851,122.10599999999998,3.3307335740439594,1.2243128534939436,6.874155251141552,Slightly toxic,2
12,Compound 13,CCCCCCCCCCc1ccc(N)cc1,6.575,4.952000000000004,106.4207149604758,77.16840000000005,233.399,233.214349864,11.25071237662706,206.183,7.1707025114205525,3.2987244167365315,14.082421972534332,Extremely toxic,5
13,Compound 14,CCCCOP(=O)(OCCCC)OCCCC,4.449,4.544600000000004,105.64386064918796,70.18650000000005,266.3179999999999,266.164695974,12.338594979034257,239.10199999999995,8.178235977364746,3.73828165700556,17.11,Moderately toxic,3
14,Compound 15,Cc1ccccc1O,3.889,1.70062,48.59057898608959,32.843799999999995,108.13999999999996,108.057514876,4.756614672258461,100.07599999999998,2.550957066939605,1.115454155366833,5.162450142450142,Slightly toxic,2
15,Compound 16,CC(C)[C@H](C)N,2.487,0.9895999999999998,39.53891018242869,28.487399999999987,87.166,87.10479941599999,4.732050807568877,74.06199999999998,2.398717474235544,1.0515668461264176,5.959999999999999,Practically non-toxic,1
16,Compound 17,CCCCCCCCCCC(C)=O,5.194,4.106200000000004,82.91513638623601,57.90800000000005,184.323,184.182715388,9.272209321142793,160.13099999999997,5.7647843170117525,2.382392158505876,12.670000000000002,Highly toxic,4
17,Compound 18,Cc1cc(C)c(C#N)c(O)n1,2.975,1.27572,64.93269087729801,40.09080000000002,148.165,148.063662876,6.4189910556895,140.10099999999997,3.221777460189542,1.4373962253519563,7.545932203389831,Practically non-toxic,1
18,Compound 19,ClC(Cl)Cl,3.228,1.9864,39.64904970847457,21.347,119.378,117.914383072,3.979030526272671,118.37,1.963961012123932,0.0,4.87,Slightly toxic,2
19,Compound 20,COc1ccc(C=O)c(OC)c1,3.917,1.5162999999999998,70.9148420217443,44.933500000000016,166.176,166.06299418,7.034145948150093,156.09599999999998,3.487156138094504,1.5676115922368337,8.585328884652048,Slightly toxic,2
20,Compound 21,CCCSSCCC,4.759,3.187800000000002,60.21014373689272,45.498000000000026,150.31199999999998,150.053692448,7.277916867529369,136.2,5.646264369941973,3.474744871391588,8.699999999999998,Moderately toxic,3
21,Compound 22,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,4.56,2.4508,79.27905139771542,48.11090000000001,199.593,199.003620732,7.537902693488107,193.545,3.847859895878448,1.8689701291425216,9.666355785837652,Moderately toxic,3
22,Compound 23,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,6.161,5.420300000000004,127.0745328963102,87.30400000000003,342.875,341.973857062,14.396986820948198,326.74700000000007,11.106081449428483,9.15103391905082,16.833248136315227,Extremely toxic,5
23,Compound 24,ClC(Cl)C(Cl)(Cl)Cl,4.429,3.1603000000000003,66.62052427663453,35.784000000000006,202.295,199.852088432,6.746817364328034,201.287,3.29882260455229,2.226922466874271,8.449999999999996,Moderately toxic,3
24,Compound 25,N#CCCCCC#N,1.75,1.59396,49.34912096275002,29.69399999999999,108.144,108.068748256,4.7228543157461065,100.07999999999998,2.6543203766865053,0.8271601883432526,6.980000000000001,Practically non-toxic,1
25,Compound 26,COC(C)=O,2.317,0.1793,30.74420258617341,17.689999999999998,74.079,74.036779432,3.3164965809277263,68.03099999999999,1.3164965809277265,0.2874574785652649,4.469999999999999,Practically non-toxic,1
26,Compound 27,CCCCCCCCN,4.396,2.3056,58.63373652561853,42.43040000000001,129.247,129.151749608,6.527097737495458,110.09499999999996,4.11535507165041,1.5576775358252049,8.960000000000003,Moderately toxic,3
27,Compound 28,C=C[C@](C)(O)CC/C=C(/C)CCC=C(C)C,5.192,4.396300000000004,100.57386528502528,72.47680000000005,222.372,222.198365452,11.214798309001573,196.164,6.021483854112555,2.674287611099495,15.18,Highly toxic,4
28,Compound 29,NC(=O)c1ccccc1N,2.537,0.3676999999999998,58.63764872796276,39.37230000000001,136.154,136.063662876,5.372349905601618,128.08999999999995,2.8588246836111835,1.226249198058896,6.607785630153122,Practically non-toxic,1
29,Compound 30,CCCO,1.121,0.3887,26.263369008818778,17.3768,60.096,60.057514876,2.861427157873053,52.032,1.5233345472033852,0.2236067977499789,3.96,Practically non-toxic,1
30,Compound 31,CC(C)(O)CCc1ccccc1,3.393,2.3901000000000003,74.05034744367602,51.06080000000004,164.24799999999996,164.120115132,7.748178503821183,148.11999999999998,4.341397181459485,1.8683031955472915,9.269445438282649,Slightly toxic,2
31,Compound 32,Cn1c(=O)c2c(ncn2C)n(C)c1=O,3.109,-1.029300000000001,79.02895701814933,51.19600000000001,194.194,194.08037556,8.182701232117184,184.114,4.107927642957932,2.3165128954882377,8.73523326923911,Slightly toxic,2
32,Compound 33,Brc1ccsc1,4.421,2.5106,48.93931399554982,32.019,163.03900000000002,161.913883196,5.420756691084398,160.015,3.30687767095802,1.9659916511396505,4.341812297734628,Moderately toxic,3
33,Compound 34,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,3.423,1.1849999999999998,94.9671316856138,58.47740000000003,226.276,226.131742436,9.923415484140858,208.13199999999995,5.589534826912004,3.075432665412927,12.678446269678304,Slightly toxic,2
34,Compound 35,Clc1cccc(Cl)c1,4.263,2.9934000000000003,58.03793557326031,36.46200000000001,147.00400000000002,145.969005488,5.577187914813867,142.97199999999998,2.9552606240736004,1.2568581544896331,5.9282051282051285,Moderately toxic,3
35,Compound 36,C=C[C@H](O)CCC,3.518,1.3334,44.66859231982434,31.111799999999985,100.161,100.088815004,4.723234477438853,88.06499999999998,2.615135585194768,0.8565171681406728,6.7,Slightly toxic,2
36,Compound 37,O=C(c1ccccc1)c1ccncc1,3.25,2.3126,82.23460952094787,54.11150000000002,183.21,183.068413908,7.551614308670455,174.13799999999998,4.375222463105506,1.9784870114002715,8.629973277127478,Slightly toxic,2
37,Compound 38,Oc1ccc(Oc2ccc(O)cc2)cc1,4.544,2.8901000000000003,87.1905100594599,56.28760000000003,202.209,202.06299418,7.921477634980787,192.129,4.498196296055658,1.9091438766242317,9.3971519262254,Moderately toxic,3
38,Compound 39,Oc1c(Br)cc(Br)cc1Br,4.703,3.6797,83.82827968861704,51.20680000000001,330.801,327.77340101600004,9.493797170251003,327.777,4.824248854315128,2.6484799510205645,8.555602294455067,Moderately toxic,3
39,Compound 40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,2.681,0.7003999999999997,98.1995153196948,60.09240000000002,232.239,232.084792244,9.318602998526268,220.143,5.333716209998574,3.026280987123201,11.319407152511545,Practically non-toxic,1
